   -52  -6.74      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1    0.1      2    2.8    2.6    0.7    0.6    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-51.77  -6.75      0    0.2    0.1    0.2      0      0    0.1      0      0      0    0.1    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.2    0.1    0.1    1.5    5.9    7.3    4.8    0.2    0.2    0.4      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-51.91  -3.41    0.1    0.9    1.5    0.2    0.2    0.2    0.3    0.2    0.2    0.1    0.2    0.3    0.2    0.2      0      0      0    0.3    0.1      0    1.8    0.5    0.3    0.4    0.5    0.3    0.2    0.6    0.2    0.2      0      0      0    0.1    1.6    2.5    4.2    3.4    6.9    7.1    6.6      4    3.5    0.8    0.6      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-55.77 -10.98      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    1.2    0.6    0.4    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-57.04  -9.19      0      0      0      0      0      0      0    0.1      0    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.4    3.5    3.8    4.2    0.1    0.2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-42.57 -16.74      0      0      0    0.1      0      0      0      0      0      0      0      0      0      0    0.3    0.1      0      0    0.1    0.4    1.4    0.2    0.4    1.1    0.5    0.8    0.2    1.4    0.7    0.3    0.4      0    0.1    0.9      0      0      0    0.1    0.5    2.3    1.1    0.4    0.3    0.3    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-39.59 -15.97    0.3    0.1    0.1    0.2    0.1      0      0      0    0.1    0.1    0.2    0.2    0.3    0.2    0.6    0.1      0    0.1    0.2    0.6    1.4    0.3    1.1    2.3    1.5    1.1    0.8    2.6    1.5    0.6    0.8    0.3    0.4      3    0.2    0.1    0.5    0.8      2    0.8    0.6    0.6    0.7    1.6    1.8      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-59.47  -1.92    4.7    1.6      3    6.1    5.4    1.7    2.2    2.9    3.8    2.6    2.4    2.8    2.5    2.6    1.5    5.6      1    3.4    8.7    3.9     13   10.1    4.6    6.7    4.7    9.1    9.6    5.4    9.1    1.6    6.2    1.9    0.3    3.7    7.2      4      5      8    5.2   13.3    2.4    1.6    1.1    0.8    2.8      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 -54.3  -2.82      1    1.4    3.5    1.5    1.2    0.8    1.4    0.8    0.9    0.5    0.4    0.7    0.6    0.7    0.1      0      0    0.8    0.2    0.3   12.5    0.7    2.1    1.1    2.3    1.2    0.5    3.6    0.6    0.7    0.1    0.1    0.1    0.3    7.5    2.3   10.5   17.3   12.6    5.5    3.8    3.8    5.3    0.7      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-52.52  -0.65    3.4    2.5    3.9    6.6    7.9    7.6    4.8    0.7      1    0.9    0.9    1.2    1.2    1.1    4.2    0.5    0.9    8.4    7.3    1.5    9.3    0.6    1.6    8.8     10    9.6    3.5   12.6   10.1    4.6    0.5   10.7    2.2    1.2    5.6    2.2    2.6   10.5    6.8    2.1    0.5    0.2    0.2    1.2    1.4      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 -51.2   0.86    3.6    1.2    1.7    3.2    4.7      5    3.7    0.7    1.4    0.8    0.8      1    0.8    0.9    4.8    0.4      3      4      7    0.7   10.2    0.7    5.7    7.6    7.1    8.3    3.5   11.4    8.3    9.4    0.6   10.9    3.5    3.9    5.1      6    1.9    9.5    8.9    2.7    0.7    0.1    0.3    1.5    1.3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-43.57  -6.75    0.1    0.2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.9    0.5    1.9    0.2      0    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-54.83 -17.09      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.7    0.4    0.8      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-58.73 -15.24      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1      0    3.2    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1    0.1      0    0.8      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-55.78 -14.87      0      0      0      0      0      0      0      0      0    0.1    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.1    1.3    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-54.83 -17.61      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    0.2      0      0      0    0.3    1.4    0.3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
   -39 -12.58      1    1.2    0.7    0.6    0.9    0.4    0.2    0.1    0.2    0.4    0.3    0.2    0.1    0.1    0.9    0.5    1.3    2.2    1.2    0.2    1.2    0.8    1.6      1    1.2    1.2    0.3    2.7      1    2.1    1.7    0.9    0.4    0.8    0.3    0.5    0.4    0.9    1.7    0.5    1.4    0.4    1.3    2.6    0.2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 -40.2  -17.9    0.1    0.1    0.1    0.2    0.1      0      0    0.1    0.1      1    1.3      1    0.9    1.1    0.6    0.1      0      0    0.2    3.1    4.2    0.5    1.6    4.3    2.5    2.1    1.4    3.1    2.1    2.8    1.4    0.8      3      3    0.2    0.4    1.7    1.6    4.4    0.6    0.2    0.3    2.4    2.8      2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-41.72 -20.92      0      0    0.4    0.4    0.2      0    0.1    0.1      0    0.1    0.1    0.2    0.2    0.4    0.1    0.1      0      0    1.2    0.3    0.6    1.6    1.6    1.9    1.7    4.8    0.6    1.2    0.4    0.5      0      0      1      2      0    0.2      1    2.2    1.3    1.1    0.4    1.5    1.2    0.3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-42.85 -20.21      0      0    0.1    0.4    0.1      0      0      0      0      0      0      0      0      0    0.1      0      0      0    0.3    0.3    0.1    0.2    1.6    0.5    0.1    0.5    1.2    0.4    0.4    0.3    0.1      0    0.1    2.5    0.1    0.1    0.1    0.8    3.1    9.8    1.6    0.5    1.1    0.4    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-42.85 -19.64      0      0    0.1    0.4    0.2      0    0.1      0      0      0    0.2    0.3    0.2      0    0.2      0      0      0    0.6    0.3    0.8    0.2    1.3    0.4    0.4    0.7    1.6    0.6    0.8    1.1    0.4      0    0.5    1.2      0      0    0.2    1.5    5.4    9.6    2.6    0.3    1.1    0.5    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-42.66 -19.12      0      0      0    0.1      0      0      0      0    0.2    0.3    0.4    0.4    0.4    0.5    0.4      0      0      0    1.6    2.7    2.1    0.3    1.7    1.9    0.8    1.8    0.8    1.1    2.1    1.6    0.6      0      2    2.1      0      0    0.4    1.2    3.9    1.5    1.3    0.2      2    0.9    0.1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-40.92  -19.5      0      0    0.1    0.1    0.1      0      0      0    0.1      0      0      0      0      0    0.2    0.1    0.1      0    0.6    1.2    0.3    0.3    1.1    1.8      2    2.5    0.5    1.1    1.3    1.3    0.6    0.3    1.9    2.1      0    0.1    0.7    1.2    2.1    0.9    0.6    0.4    1.8    0.7    0.3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-64.66  -9.26    0.2    0.3    0.2    0.1    0.1    0.4    0.6    0.4    0.5    0.6      1    0.8    1.7    0.5    2.6    3.1    6.5    4.8    3.8    8.6    5.9    1.9    2.1    1.6    2.2    1.2    0.4    0.2    0.4    0.9    3.4   15.4    1.7    0.5    0.8    0.9    6.1    5.9    0.5      1    1.5    1.1    1.8    2.3    2.9      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-51.77  -3.13    0.1    0.6    1.1    0.1    0.1    0.1    0.2    0.1    0.1    0.1    0.1    0.2    0.1    0.1    0.1    0.2      0    0.2    0.3    0.1    0.7    0.4    0.2    0.3    0.3    0.4    0.4    0.3    0.4    0.1    0.3    0.1      0    0.2    0.5    0.5    1.1    1.1    2.4    3.3    2.8    1.1    0.9    0.2    0.2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
